ds,y
2020-04-14,12652.272727272728
2020-04-15,12652.272727272728
2020-04-16,12652.272727272728
2020-04-17,12652.272727272728
2020-04-20,12652.272727272728
2020-04-21,12652.272727272728
2020-04-22,12652.272727272728
2020-04-23,12652.272727272728
2020-04-24,12663.636363636364
2020-04-27,12652.272727272728
2020-04-28,12652.272727272728
2020-04-29,12652.272727272728
2020-04-30,12652.272727272728
2020-05-01,12537.5
2020-05-04,12652.272727272728
2020-05-05,12652.272727272728
2020-05-06,12652.272727272728
2020-05-07,12537.5
2020-05-08,12652.272727272728
2020-05-11,12652.272727272728
2020-05-12,12652.272727272728
2020-05-13,12652.272727272728
2020-05-14,12652.272727272728
2020-05-15,12652.272727272728
2020-05-18,12652.272727272728
2020-05-19,12640.90909090909
2020-05-20,12652.272727272728
2020-05-21,12663.636363636364
2020-05-22,12652.272727272728
2020-05-25,12537.5
2020-05-26,12652.272727272728
2020-05-27,12652.272727272728
2020-05-28,12652.272727272728
2020-05-29,12652.272727272728
2020-06-01,12600.0
2020-06-02,12640.90909090909
2020-06-03,12652.272727272728
2020-06-04,12652.272727272728
2020-06-05,12652.272727272728
2020-06-08,12652.272727272728
2020-06-09,12652.272727272728
2020-06-10,12652.272727272728
2020-06-11,12652.272727272728
2020-06-12,12652.272727272728
2020-06-15,12652.272727272728
2020-06-16,12652.272727272728
2020-06-17,12638.636363636364
2020-06-18,12652.272727272728
2020-06-19,12652.272727272728
2020-06-22,12652.272727272728
2020-06-23,12652.272727272728
2020-06-24,12606.818181818182
2020-06-25,12652.272727272728
2020-06-26,12652.272727272728
2020-06-29,12652.272727272728
2020-06-30,12652.272727272728
2020-07-01,12572.727272727272
2020-07-02,12572.727272727272
2020-07-03,12595.454545454546
2020-07-06,12595.454545454546
2020-07-07,12595.454545454546
2020-07-08,12595.454545454546
2020-07-09,12595.454545454546
2020-07-10,12595.454545454546
2020-07-13,12595.454545454546
2020-07-14,12595.454545454546
2020-07-15,12595.454545454546
2020-07-16,12595.454545454546
2020-07-17,12595.454545454546
2020-07-20,12595.454545454546
2020-07-21,12595.454545454546
2020-07-22,12595.454545454546
2020-07-23,12595.454545454546
2020-07-24,12595.454545454546
2020-07-27,12595.454545454546
2020-07-28,12595.454545454546
2020-07-29,12595.454545454546
2020-07-30,12595.454545454546
2020-07-31,12537.5
2020-08-03,12595.454545454546
2020-08-04,12595.454545454546
2020-08-05,12595.454545454546
2020-08-06,12595.454545454546
2020-08-07,12595.454545454546
2020-08-10,12595.454545454546
2020-08-11,12595.454545454546
2020-08-12,12595.454545454546
2020-08-13,12595.454545454546
2020-08-14,12595.454545454546
2020-08-17,12257.142857142857
2020-08-18,12595.454545454546
2020-08-19,12595.454545454546
2020-08-20,12537.5
2020-08-24,12595.454545454546
2020-08-25,12595.454545454546
2020-08-26,12595.454545454546
2020-08-27,12595.454545454546
2020-08-28,12595.454545454546
2020-08-31,12595.454545454546
2020-09-01,12595.454545454546
2020-09-02,12595.454545454546
2020-09-03,12595.454545454546
2020-09-04,12472.727272727272
2020-09-07,12595.454545454546
2020-09-08,12595.454545454546
2020-09-09,12595.454545454546
2020-09-10,12595.454545454546
2020-09-11,12595.454545454546
2020-09-14,12618.181818181818
2020-09-15,12595.454545454546
2020-09-16,12618.181818181818
2020-09-17,12618.181818181818
2020-09-18,12595.454545454546
2020-09-21,12595.454545454546
2020-09-22,12595.454545454546
2020-09-23,12595.454545454546
2020-09-24,12595.454545454546
2020-09-25,12595.454545454546
2020-09-28,12595.454545454546
2020-09-29,12595.454545454546
2020-09-30,12595.454545454546
2020-10-01,12595.454545454546
2020-10-02,12595.454545454546
2020-10-05,12595.454545454546
2020-10-06,12595.454545454546
2020-10-07,12595.454545454546
2020-10-08,12595.454545454546
2020-10-09,12595.454545454546
2020-10-12,12595.454545454546
2020-10-13,12595.454545454546
2020-10-14,12595.454545454546
2020-10-15,12595.454545454546
2020-10-16,12595.454545454546
2020-10-19,12595.454545454546
2020-10-20,12595.454545454546
2020-10-21,12595.454545454546
2020-10-22,12640.90909090909
2020-10-23,12595.454545454546
2020-10-26,12595.454545454546
2020-10-27,12595.454545454546
2020-10-29,12216.666666666666
2020-11-02,12595.454545454546
2020-11-03,12595.454545454546
2020-11-04,12595.454545454546
2020-11-05,12595.454545454546
2020-11-06,12595.454545454546
2020-11-09,12595.454545454546
2020-11-10,12595.454545454546
2020-11-11,12595.454545454546
2020-11-12,12595.454545454546
2020-11-13,12595.454545454546
2020-11-16,12572.727272727272
2020-11-17,12595.454545454546
2020-11-18,12595.454545454546
2020-11-19,12595.454545454546
2020-11-20,12595.454545454546
2020-11-23,12595.454545454546
2020-11-24,12595.454545454546
2020-11-25,12595.454545454546
2020-11-26,12595.454545454546
2020-11-27,12595.454545454546
2020-11-30,12595.454545454546
2020-12-01,12595.454545454546
2020-12-02,12595.454545454546
2020-12-03,12595.454545454546
2020-12-04,12595.454545454546
2020-12-07,12550.0
2020-12-08,12550.0
2020-12-10,12572.727272727272
2020-12-11,12550.0
2020-12-14,12550.0
2020-12-15,12550.0
2020-12-16,12550.0
2020-12-17,12550.0
2020-12-18,12550.0
2020-12-21,12550.0
2020-12-22,12550.0
2020-12-23,12550.0
2020-12-24,12216.666666666666
2020-12-25,12287.5
2020-12-28,12550.0
2020-12-29,12550.0
2020-12-30,12550.0
